zipcode,pdb_org_id,country,org_id,url,address,name,state,city
1030,209,BE,209,http://www.bics.com,"Boulevard Roi Albert II 27
1030 Schaerbeek",Belgacom International Carrier Services SA,Bruxelles,Schaerbeek
,210,,210,,,Pro-Net Internet Services Ltd,,
1000,214,BE,214,https://www.belnet.be,"WTC III
Boulevard Simon Bolivar 30 B 2",BELNET,,Brussels
,216,,216,,,Paetec Communications,,
,219,,219,,,CityFibre Limited,,
,221,,221,,,"Bebo, Inc.",,
102-8460,222,JP,222,http://www.kddi.com/english/,"Garden Air Tower
3-10-10, Iidabashi",KDDI,Tokyo,Chiyoda-ku
00181,223,FI,223,https://www.ficix.fi,"FICIX ry
PL 146",FICIX Ry,FI,Helsinki
,224,,224,,,LINKLINE Communications,,
,227,,227,,,DSNet Limited,,
127083,228,RU,228,http://www.msk-ix.ru/en,"8 Marta street, 1, bld. 12","Joint-stock company ""Internet Exchange"" MSK-IX",,Moscow
8406,229,CH,229,http://www.init7.net/,Technoparkstrasse 5,Init7 (Switzerland) Ltd,ZH,Winterthur
,231,,231,,,Convoke Communications Corp,,
,233,,233,,,Miami Data Vault,,
M3A 2P8,234,CA,234,http://www.egate.net,"85 Curlew Drive, Suite 107",EGate Networks Inc.,ON,Toronto
,237,,237,,,MMTS-9 JSC,,
,244,,244,https://www.telnet.it,,Telnet,,
,245,,245,,,Orbital Net Ltd,,
,246,CA,246,https://videotron.com/,,Videotron Ltd,,
12103,248,DE,248,https://speedbone.de,Alboinstr. 36-42,Speedbone GmbH,Germany,Berlin
,249,,249,,,True B.V.,,
,252,,252,,,SK broadband,,
,258,,258,,,BlueGIX,,
10123,259,IT,259,http://www.top-ix.org,"Via Maria Vittoria, 38",TOP-IX,TO,Torino
,260,,260,,,PIPE Networks,,
75002,261,FR,261,https://www.groupe-infoclip.com,"20, rue de la michodière",Infoclip,,PARIS
,263,,263,,,wan2many,,
53113,267,DE,267,https://globalcarrier.telekom.com,Friedrich-Ebert-Allee 140,Deutsche Telekom AG,Köln,Bonn
,269,,269,,,Eclipse Internet,,
,271,,271,,,Polaris Realty,,
92150,273,FR,273,http://www.waycom.net/,1-3 quai Marcel Dassault,Waycom International,,SURESNES
TS18 2AD,275,GB,275,http://www.onyx.net/,"Onyx House, 9 Cheltenham Road",Onyx Group,,Stockton On Tees
8005,278,CH,278,http://www.metanet.ch,Hardstrasse 235,METANET AG,ZH,Zuerich
,280,,280,,,rh-tec Business GmbH,,
,283,,283,,,OIX,,
,287,,287,,,Gyron Internet Ltd,,
,288,ZA,288,https://www.inx.net.za/,"INX-ZA
c/o Internet Service Providers' Association",INX-ZA,Gauteng,Johannesburg
Dublin 15,290,IE,290,https://www.servecentric.com/,"Unit 9 Blanchardstown Corporate park
Blanchardstown",ServeCentric Ltd. (Blanchardstown),,Dublin
,292,,292,,,VTX Services SA,,
16440,293,SE,293,http://www.proact.eu/,Kistagangen 2,Proact IT Group AB,,Kista
,294,,294,https://www.bedrockstreaming.com,,Bedrock,,
8008,296,CH,296,http://www.cyberlink.ch,Bellerivestrasse 241,Cyberlink AG,,Zürich
90475,297,DE,297,https://northcdatacenters.de,Am Tower 5,NorthC Deutschland GmbH,Mittelfranken,Nürnberg
8152,300,CH,300,http://www.netrics.ch,Sägereistrasse 33,Netrics Zuerich AG,ZH,Glattbrugg
,303,,303,,,Telecom Liechtenstein AG,,
,305,,305,,,Versatel,,
20910,306,US,306,http://www.atlantech.net,"1010 Wayne Avenue, Suite 630","Atlantech Online, Inc.",MD,Silver Spring
,307,,307,,,Tasty Lime,,
,308,,308,,,FiberNet Telecom Group,,
,309,,309,,,TampaIX,,
,310,,310,,,Giganews,,
,312,,312,,,Bell Canada (formally Group Telecom),,
1831,314,BE,314,https://www.lcl.be,"Kouterveldstraat 13
1831 Machelen",LCL Belgium,Vlaams-Brabant,Machelen
,319,,319,,,GIX Gothenburg,,
,320,,320,,,"RealConnect, Inc",,
,322,,322,,,AAPT (TNZA),,
,324,,324,,,Association pour les reseaux internet en Alsace,,
,325,,325,,,ViaNet Communications,,
,327,,327,,,Novia Internetworking,,
50672,329,MY,329,https://www.tm.com.my,"Menara TM
Jalan Pantai Baharu,",Telekom Malaysia Berhad (TM),Kuala Lumpur,Kuala Lumpur
,330,,330,http://www.bogons.net,,Bogons,,
,331,,331,,,BigApe,,
8004,332,CH,332,https://www.switch.ch,Werdstrasse 2,SWITCH,Zürich,Zurich
,335,,335,,,JENS,,
,336,,336,,,BAYANTEL,,
,337,,337,,,Softbank Corp.,,
90402,339,DE,339,http://www.treureal.de/,Brunnengasse 16,Treureal Property Management GmbH,Bavaria,Nuremburg
94662-0243,340,US,340,https://sfmix.org/,PO Box 8243,SFMIX,CA,Emeryville
,341,,341,,,Headlight,,
113 86,343,SE,343,,"Pastellvägen 6, plan 4 och 5
Johanneshov",AB Stokab,,Stockholm
50829,345,DE,345,https://www.qbeyond.de/,"Richard-Byrd-Str. 4
50829 Köln",q.beyond AG,,Köln
,351,,351,,,Netlantis,,
,352,,352,,,"Northwest Access Exchange, Inc.",,
,353,,353,,,noc@sox.net.sg,,
,355,,355,,,TCNPP,,
56410,356,DE,356,https://www.ionos.de,Elgendorfer Str. 57,IONOS SE,,Montabaur
6135KD,358,NL,358,http://www.unilogic.nl/,Bergerweg 110,Unilogic Networks B.V.,Limburg,SITTARD
,359,,359,,,Titan Networks GmbH,,
,363,,363,,,Broadnet-Mediascape,,
169 00,364,CZ,364,http://www.radiokomunikace.cz/,Skokanská 2117/1,"Radiokomunikace, a.s.",,Prague
20037,365,US,365,http://www.cogentco.com,2450 N Street NW,"Cogent Communications, Inc.",DC,Washington
,366,,366,,,"GTS Novera, a.s.",,
33193,367,US,367,http://www.ampath.net,Equinix MI1,Florida International University,FL,Miami
,368,,368,,,"T-Systems Pragonet, a.s.",,
40219,370,DE,370,https://www.netzquadrat.de,Gladbacher Str. 74,Netzquadrat GmbH,Nordrhein-Westfalen,Düsseldorf
60596,371,DE,371,https://www.denic.de,Theodor-Stern-Kai 1,DENIC eG,,Frankfurt a.M.
02110,373,US,373,http://www.markleygroup.com/,1 Summer St,"Markley Group, LLC",MA,Boston
01-045,374,PL,374,https://www.nask.pl,ul. Kolska 12,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA INSTYTUT BADAWCZY,,Warszawa
,376,,376,,,BCE,,
10178,378,DE,378,https://www.dfn.de,Alexanderplatz 1,DFN Deutsches Forschungsnetz e.V.,,Berlin
,384,,384,,,BTnet (BT's UK IP Network - AS2856),,
,393,,393,,,Packet Clearing House,,
94539,396,US,396,http://he.net,760 Mission Ct,Hurricane Electric,CA,Fremont
AL8 6HQ,398,GB,398,http://secura.cloud,Rosanne House,Secura Hosting Ltd,Hertfordshire,Welwyn Garden City
,399,,399,,,MULTICOMS FACILITIES MANAGEMENT,,
,406,UA,406,http://www.ix.net.ua,,"DE ""Ukrainian Internet Exchange"" (UA-IX)",,Kiev
1119 PD,410,NL,410,http://www.atom86.net,"Boeingavenue 271
1119 PD Schiphol-Rijk",Schuberg Philis B.V.,Noord-Holland,Schiphol-Rijk
,411,,411,,,HIX,,
,412,,412,,,MTS Allstream,,
,414,,414,http://as286.net/,,GTT (former KPN International / KPN Eurorings),,
,415,,415,,,TLLIX,,
,416,,416,,,UNITED COLO GmbH / NGZ-Server.de,,
,423,,423,,,Rogers Cable,,
,425,CN,425,http://www.chinatelecomglobal.com/,,China Telecom,,
,430,,430,,,Looking Glass Networks,,
,431,,431,,,"NuCDN, LLC",,
,432,,432,,,PIX Montreal,,
,433,,433,,,The Higher Technology (THT.net),,
,434,,434,,,PIX Toronto,,
67000,438,FR,438,https://www.sdv.fr,15 rue de la nuée bleue,SdV,Alsace,Strasbourg
59101,439,US,439,http://www.yrix.org,"222 N 32nd
Suite 503",YRIX,Montana,Billings
,440,CA,440,http://www.shaw.ca,,Shaw Cablesystems,Alberta,Calgary
,443,,443,,,Hydro One Telecom,,
,444,,444,,,VODAFONE,,
,445,,445,,,"IXNM, INC.",,
90638-5830,448,US,448,https://cenic.org,16700 Valley View Ave,CENIC / CalREN,CA,La Mirada
,449,,449,,,PPR,,
,452,,452,,,"Mezhdurechensk factory of radio equipment repair, Ltd",,
26133,453,DE,453,https://www.ewe.de/,Cloppenburger Str. 310,EWE TEL GmbH,,Oldenburg
98104,461,US,461,http://www.pnwgp.net,113 Cherry St. #30685,Pacific Northwest Gigapop,WA,Seattle
,464,,464,,,EarthLink,,
,470,,470,,,Citynet,,
,472,,472,,,NetUSE AG,,
1205,473,BD,473,http://www.bdix.net,Panthapath,Bangladesh Internet Exchange Trust,Bangladesh,Dhaka
,474,,474,,,Denit Internet Services B.V.,,
,475,,475,,,IPSERV,,
,478,,478,,,Telstra International (PSINet UK),,
,483,,483,,,"Switch, Ltd.",,
,484,,484,,,Xeex Communications,,
,488,,488,,,Alco Properties,,
,489,,489,,,HopOne Internet Corp.,,
65795,491,DE,491,https://services.global.ntt/en-us/services-and-products/global-data-centers,Voltastrasse 15,NTT Global Data Centers,Hessen,Hattersheim am Main
67059,493,DE,493,https://www.pfalzkom.de,Wredestraße 35,Pfalzkom GmbH,Rheinhessen-Pfalz,Ludwigshafen
,494,,494,,,Mobistar Enterprise Services NV,,
,496,,496,,,DOTRO Telecom,,
,502,,502,,,International Data Group,,
,504,,504,,,HGTN.net,,
11530,506,US,506,http://www.webair.com,501 Franklin Ave,Webair,New York,Garden City
,508,,508,,,TDC A/S,,
212 28,509,SE,509,http://www.ixor.se,"c/o 31173 Services AB
Scheelegatan 9",IXOR,Skåne Län,Malmö
,510,US,510,https://www.avaya.com,,Avaya Inc.,,
53711,512,US,512,http://www.wiscnet.net/,605 Science Dr,WiscNet,WI,Madison
60326,514,DE,514,https://www.aixit.com,Rebstöcker Straße 55,aixit GmbH,,Frankfurt am Main
,515,,515,,,The Planet Internet Services,,
,516,,516,,,NewColo,,
28273,519,US,519,https://www.flexential.com/,"8809 Lenox Pointe Dr.
Suite G",Flexential Corp.,NC,Charlotte
,521,US,521,http://www.dreamhost.com,,DreamHost,,
1515,527,AU,527,https://www.aarnet.edu.au,PO Box 5519,AARNet Pty Ltd,NSW,Chatswood
,530,,530,,,Rogers RTI,,
1132,533,HU,533,https://www.bif.hu,Polgár u. 8–10.,Budapesti Ingatlan Hasznosítási és Fejlesztési Nyrt.,,Budapest
20153,534,IT,534,https://www.minap.it/,"c/o Telnet s.r.l.
Via Caldera 21",MINAP Milan,Italy,Milan
1097,536,HU,536,https://www.t-systems.hu/home-page,Könyves Kálmán körút 36.,T-Systems Magyarország Zrt.,,Budapest
,537,NP,537,http://www.npix.net.np/,"P.O.Box 13655
Gusingal, Kupandole",NPIX,Bagmati,Lalitpur
,538,,538,,,Texlink Communications,,
,541,,541,,,Signet B.V.,,
,543,,543,,,Pricegrabber.com,,
,546,,546,,,OneEighty Networks,,
,548,,548,,,Internet Operating Services LLC,,
47100,549,MY,549,http://www.myix.my,13a Persiaran Wawasan,Malaysia Internet Exchange,Selangor,Puchong
98101-1323,550,US,550,https://www.altopia.com/,1700 7th Ave Ste 116 PMB #300,Altopia Corporation,WA,Seattle
,551,,551,,,IRIS,,
,554,,554,,,Cincinnatti Bell,,
,556,,556,,,"NFSi Telecom, Lda.",,
,558,,558,,,Neutral Data Centers Corp.,,
,559,,559,,,"Affinity Internet, Inc.",,
,564,,564,,,Frontier Communications of America (FCA),,
,569,,569,,,Lefrak Organization,,
94043,574,US,574,http://www.google.com,1600 Amphiteathre Parkway,Google LLC,California,Mountain View
,577,VN,577,,"No 1, Tran Huu Duc street
My Dinh 2 ward, Nam Tu Liem district",Viettel Network Corporation,,Hanoi
,578,,578,,,VIA NET.WORKS Portugal,,
H101,580,SZ,580,http://www.sispa.org.sz/,"P.O. Box A59
Swazi Plaza",Swaziland Internet Service Providers Association - SISPA,,Mbabane
400051,581,IN,581,http://www.tatacommunications.com,"C-21 and C-36, G Block
Bandra Kurla Complex, Bandra East",TATA Communications Ltd,Maharashtra,Mumbai
93401-4488,585,US,585,http://www.digitalwest.com/,1998 Santa Barbara Ave Ste 200,"Digital West Networks, Inc.",CA,San Luis Obispo
,586,,586,,,colozueri.ch AG,,
,589,,589,,,Silicon Valley Colocation,,
,590,,590,,,Griffin Internet,,
030912,591,RO,591,http://www.interlan.ro,"Strada Cezar Bolliac 8
030912",Interlan Internet Exchange SRL,București,București
50129,594,IT,594,https://www.consiglio.regione.toscana.it/,Via Cavour 2,Consiglio Regionale della Toscana,,Firenze
,595,,595,,,OCCAID,,
,596,,596,,,CAIX,,
10220,597,ID,597,https://www.biznetnetworks.com,"MidPlaza 2, 8th Floor. Jl. Jend. Sudirman 10-11",Biznet Networks,,Jakarta
220030,598,BY,598,http://www.ntec.by,"Karl Marx Str., 29, bldg. 2",BY-IX,Belarus,Minsk
28034,599,ES,599,https://chathispano.com/,"Calle Salvatierra 4
28034 Madrid",Chat Hispano,Madrid,Madrid
1101 BV,600,NL,600,http://www.linxdatacenter.com,Hullenbergweg 300,Linxdatacenter,Noord-Holland,Amsterdam
,602,,602,,,Luna.nl B.V.,,
0581,603,NO,603,http://www.stackinfra.com,Ulvenveien 82,STACK EMEA - Nordics,,Oslo
,606,,606,,,SSC Networks,,
,607,,607,,,KDDI (former POWEREDCOM),,
,610,,610,,,Crimea-IX,,
,612,,612,,,IP Group,,
,613,,613,,,ACTIX,,
75010,614,FR,614,https://www.ikoula.com,"2 CITÉ PARADIS
10E Arrondissement",Ikoula Net SAS,Paris,Paris
,616,,616,,,Tishman Real Estate Services,,
,619,,619,,,Telenor,,
,621,,621,,,Telstra Europe,,
,622,,622,,,BT LatAm,,
L-3290,625,LU,625,http://www.lu-cix.lu,"202, Z.A.E. Wolser F",LU-CIX Management G.I.E.,,Bettembourg
,627,,627,,,RTCOMM,,
,629,,629,,,Hostirian,,
53717,630,US,630,http://supranet.net,"8000 Excelsior Dr
Suite 204","SupraNet Communications, Inc.",WI,Madison
,632,,632,,,Fish Telecom,,
10557,634,DE,634,https://www.in-berlin.de/,Lehrter Str. 53,Individual Network Berlin e.V.,,Berlin
,635,,635,https://newtelco.com/location/ukraine/,,NewTelco Ukraine,,
,639,,639,,,INTERNET AG Global Network,,
,641,,641,,,E-Solutions,,
,642,,642,,,OTEGlobe,,
,643,,643,,,XO,,
,645,RU,645,http://nodex.ru,,NODEX Limited,,Saint-Petersburg
35127,646,IT,646,https://www.vsix.it,"Galleria Spagna, 28",Universitá degli Studi di Padova,Italy,Padua
53703,647,US,647,https://fiorecompanies.com/,150 East Gilman Street,Fiore Companies,WI,Madison
,648,,648,,,freenet Cityline GmbH,,
,651,,651,,,EvoSwitch,,
,654,IE,654,,Mervue Industrial Estate,ExWest,,Galway
,658,,658,,,DTS Service GmbH,,
,665,,665,,,iConnect Montana,,
,668,,668,,,GreatAccess.com,,
,669,,669,,,TransACT Capital Communications Pty Ltd,,
75014,671,FR,671,http://www.hivane.net,Paris,Hivane,,Paris
,672,,672,,,Boras Energi/Nat AB,,
,674,,674,,,Eaton Kaye Ltd,,
,676,,676,,,"Bahamas Telecommunications Company, LTD.",,
D24 AX06,679,IE,679,https://www.inex.ie,4027 Kingswood Road,INEX,,Citywest
,681,,681,,,CSS MPS Moscow,,
80021-8254,682,US,682,http://www.lumen.com/,1025 Eldorado Blvd,Lumen Technologies Inc,CO,Broomfield
,684,,684,,,Telehouse Centre Canada,,
,685,,685,,,Nerim SAS,,
,686,,686,,,Multiplay UK Limited,,
M5V 2H2,687,CA,687,https://www.alliedreit.com,"134 Peter Street
Suite 1700",Allied REIT,Ontario,Toronto
1172,690,BG,690,https://www.bix.bg,126 Tintyava Str,BIX.BG Ltd,,Sofia
,691,,691,,,HKCOLO - Sino Favour Centre,,
,692,,692,,,STS Telecom,,
,695,,695,,,740 Notre-Dame West Montreal,,
19108,697,US,697,https://www.sungardas.com/,401 North Broad Street,Sungard Availability Services,PA,Philadelphia
M01,699,KZ,699,https://kaz-ix.kz/,"Alihanova ulica 14B
Karaganda",Association Internet Traffic Exchange Centre,Karagandinskaya Oblast,Karaganda
,700,,700,,,GENERAL COUNCIL ON FINANCE AND ADMINISTRATION OF THE UNITED METHODIST CHURCH,,
,701,,701,,,TOUIX,,
,705,RU,705,http://www.uln-ix.ru/,,Ulyanovsk Internet Exchange,,Ulyanovsk
,714,,714,,,Axione Lotim Telecom,,
,719,,719,,,Telewest Broadband,,
,722,,722,,,Assertive Networks,,
,727,,727,http://wix.nzix.net/index.html,,NZIX ExchangeNET,,
L8P 4W7,728,CA,728,https://www.gcis.ca/,"21 King Street West
Suite 1600",GCIS Inc.,Ontario,Hamilton
,730,,730,,,University of Wisconsin-Madison,,
75201,735,US,735,https://stackpath.com,"2021 McKinney Ave.
Suite 1100","Highwinds Network Group, Inc",TX,Dallas
20705,746,US,746,http://www.ai.net,11700 Montgomery Road,AiNET,MD,Beltsville
,749,,749,,,National Post and Telecom Agency,,
1316BS,750,NL,750,https://www.cambrium.nl,Randstad 22 57,Cambrium BV.,Flevoland,Almere
,751,,751,,,The Wilson Company,,
75017,752,FR,752,https://www.franceix.net/,"88 AVENUE DES TERNES
17E Arrondissement",France IX Services SASU,Paris,Paris
,753,,753,,,Asiakomnet Multimedia,,
186 00,755,CZ,755,http://www.quantcom.cz,Křižíkova 36/a,Quantcom,,Praha 8
,756,,756,,,Midwest Wireless Holdings LLC,,
11529,761,TW,761,https://its.sinica.edu.tw/,"Department of Information Technology Services 128 Academia Road, Section 2, Nankang, Taipei 11529, Taiwan ROC",Academia Sinica Department of Information Technology Services (ITS),Taiwan,Taipei
84770,762,US,762,http://www.suprnet.net,,SUPRnet,UT,St. George
10629,770,DE,770,http://www.digitaspixelpark.com,Leibnizstrasse 65,Digitas Pixelpark GmbH,Berlin,Berlin
,775,,775,,,Simply Transit Ltd,,
,782,,782,,,The UK Grid Network LTD,,
020337,785,RO,785,http://www.nxdata.ro,"8, Dimitrie Pompeiu Blvd., 3rd floor",NXDATA,,Bucharest
,789,,789,,,Sprint,,
EC2R 6DA,791,GB,791,https://www.linx.net,"WeWork, 12 Moorgate",LINX,City Of London,London
90471,794,DE,794,http://www.noris.net,Thomas-Mann-Straße 16-20,noris network AG,Bayern,Nürnberg
,795,,795,,,NetConnex,,
10785,797,DE,797,http://www.carrier-colo.com,Lützowstraße 106,IPB Internet Provider in Berlin GmbH,Berlin,Berlin
,798,,798,,,NetNation Communications Inc.,,
46225,799,US,799,https://www.lightbound.com/,"731 W Henry St
Suite 201",LightBound,Indiana,Indianapolis
,801,,801,,,CNTI,,
,802,,802,,,REUNIX,,
,803,,803,,,IP2 Internet B.V.,,
98225,804,US,804,http://www.cssnw.com,1911 C St,CSS Communications,WA,Bellingham
,806,,806,,,LIX-LV,,
,808,,808,,,Phyxia Networks,,
,813,IL,813,http://en.isoc.org.il/,6th Bareket st.,Internet Society of Israel,,Petach Tikva
,814,,814,,,Thinfactory N.V,,
,818,,818,,,Openminds,,
84121-1644,819,US,819,https://utopiafiber.com,5858 S 900 E,UTOPIA Fiber,UT,Murray
,820,,820,,,EDPNET Belgium BV,,
,823,,823,,,"Guam Cablevision, LLC.",,
,824,,824,,,LIPTAM,,
1700-066,826,PT,826,http://www.lnec.pt,"Avenida do Brasil, 101",National Laboratory of Civil Engineering (LNEC),,Lisbon
,828,,828,,,Hudson Digital,,
,833,,833,,,EVONET Belgium NV,,
,837,IT,837,http://www.garr.it,,Consortium GARR,Italy,Rome
,839,,839,,,eBay Inc.,,
,840,,840,,,Sitel,,
,841,,841,,,DGC One AB,,
,844,,844,,,iunxi BV,,
,845,,845,,,AXS Datacenters,,
,847,,847,,,N/A,,
,848,,848,,,regio[.NET],,
90429,849,DE,849,https://www.core-backbone.com,Deutschherrnstr. 15-19,Core-Backbone GmbH,Bavaria,Nuernberg
46628,851,US,851,https://globalaccesspoint.pagecloud.com,"6561 Lonewolf Drive
Suite 100",Global Access Point,IN,South Bend
,852,US,852,https://telxius.com,,Telxius Cable,,"Madrid, Miami, Ashburn, SP...."
,853,,853,,,Singapore - Science Park II,,
72712-7761,857,US,857,http://www.walmart.com,"David Glass Technology Center
805 SE Moberly Ln",Walmart Stores Inc.,AR,Bentonville
64116,859,US,859,http://www.wholesaleinternet.net,201 E 16th Ave,"Wholesale Internet, Inc.",MO,North Kansas City
,861,,861,,,Sony Online Entertainment Inc.,,
,862,,862,,,ICT Center Vaduz,,
,864,,864,,,Stena Fastigheter,,
66663,865,DE,865,http://www.probe-networks.de,Auf Struetzberg 26,Probe Networks,Saarland,Merzig
,866,,866,,,"InterServer, Inc",,
,867,,867,,,CaroNet,,
,868,,868,,,Ucomline (Digital Generation),,
,869,,869,,,NCSoft,,
115172,870,RU,870,https://www.company.rt.ru/en/,"30 (building 1), Goncharnaya st.",ROSTELECOM,,Moscow
,872,,872,,,OAO Russian Railways,,
,873,,873,,,"Central Host, Inc.",,
,874,,874,,,Datagroup JSC,,
28010,875,IT,875,http://intercom.it,"via Piantà, 8",Intercom s.r.l.,NO,Vaprio d'Agogna
98683,878,US,878,http://www.electriclightwave.com/,"18110 SE 34th St
Suite 100",Electric Lightwave,WA,Vancouver
,879,,879,,,SOCO Network Solutions GmbH,,
,881,,881,,,Netegral Limited,,
63131,882,US,882,http://www.tierpoint.com,"12444 Powerscourt Dr.
Suite 450","TierPoint, LLC",MO,St. Louis
,883,,883,,,Rack Sense Ltd,,
,884,,884,,,Kiemle & Hagood,,
