zoneName,gmtOffset,gmtOffsetName,abbreviation,tzName
Asia/Kabul,16200,UTC+04:30,AFT,Afghanistan Time
Europe/Mariehamn,7200,UTC+02:00,EET,Eastern European Time
Europe/Tirane,3600,UTC+01:00,CET,Central European Time
Africa/Algiers,3600,UTC+01:00,CET,Central European Time
Pacific/Pago_Pago,-39600,UTC-11:00,SST,Samoa Standard Time
Europe/Andorra,3600,UTC+01:00,CET,Central European Time
Africa/Luanda,3600,UTC+01:00,WAT,West Africa Time
America/Anguilla,-14400,UTC-04:00,AST,Atlantic Standard Time
Antarctica/Casey,39600,UTC+11:00,AWST,Australian Western Standard Time
America/Antigua,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Argentina/Buenos_Aires,-10800,UTC-03:00,ART,Argentina Time
Asia/Yerevan,14400,UTC+04:00,AMT,Armenia Time
America/Aruba,-14400,UTC-04:00,AST,Atlantic Standard Time
Antarctica/Macquarie,39600,UTC+11:00,MIST,Macquarie Island Station Time
Europe/Vienna,3600,UTC+01:00,CET,Central European Time
Asia/Baku,14400,UTC+04:00,AZT,Azerbaijan Time
Asia/Bahrain,10800,UTC+03:00,AST,Arabia Standard Time
Asia/Dhaka,21600,UTC+06:00,BDT,Bangladesh Standard Time
America/Barbados,-14400,UTC-04:00,AST,Atlantic Standard Time
Europe/Minsk,10800,UTC+03:00,MSK,Moscow Time
Europe/Brussels,3600,UTC+01:00,CET,Central European Time
America/Belize,-21600,UTC-06:00,CST,Central Standard Time (North America)
Africa/Porto-Novo,3600,UTC+01:00,WAT,West Africa Time
Atlantic/Bermuda,-14400,UTC-04:00,AST,Atlantic Standard Time
Asia/Thimphu,21600,UTC+06:00,BTT,Bhutan Time
America/La_Paz,-14400,UTC-04:00,BOT,Bolivia Time
America/Anguilla,-14400,UTC-04:00,AST,Atlantic Standard Time
Europe/Sarajevo,3600,UTC+01:00,CET,Central European Time
Africa/Gaborone,7200,UTC+02:00,CAT,Central Africa Time
Europe/Oslo,3600,UTC+01:00,CET,Central European Time
America/Araguaina,-10800,UTC-03:00,BRT,Bras\u00edlia Time
Indian/Chagos,21600,UTC+06:00,IOT,Indian Ocean Time
Asia/Brunei,28800,UTC+08:00,BNT,Brunei Darussalam Time
Europe/Sofia,7200,UTC+02:00,EET,Eastern European Time
Africa/Ouagadougou,0,UTC\u00b100,GMT,Greenwich Mean Time
Africa/Bujumbura,7200,UTC+02:00,CAT,Central Africa Time
Asia/Phnom_Penh,25200,UTC+07:00,ICT,Indochina Time
Africa/Douala,3600,UTC+01:00,WAT,West Africa Time
America/Atikokan,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
Atlantic/Cape_Verde,-3600,UTC-01:00,CVT,Cape Verde Time
America/Cayman,-18000,UTC-05:00,EST,Eastern Standard Time (North America
Africa/Bangui,3600,UTC+01:00,WAT,West Africa Time
Africa/Ndjamena,3600,UTC+01:00,WAT,West Africa Time
America/Punta_Arenas,-10800,UTC-03:00,CLST,Chile Summer Time
Asia/Shanghai,28800,UTC+08:00,CST,China Standard Time
Indian/Christmas,25200,UTC+07:00,CXT,Christmas Island Time
Indian/Cocos,23400,UTC+06:30,CCT,Cocos Islands Time
America/Bogota,-18000,UTC-05:00,COT,Colombia Time
Indian/Comoro,10800,UTC+03:00,EAT,East Africa Time
Africa/Brazzaville,3600,UTC+01:00,WAT,West Africa Time
Pacific/Rarotonga,-36000,UTC-10:00,CKT,Cook Island Time
America/Costa_Rica,-21600,UTC-06:00,CST,Central Standard Time (North America
Africa/Abidjan,0,UTC\u00b100,GMT,Greenwich Mean Time
Europe/Zagreb,3600,UTC+01:00,CET,Central European Time
America/Havana,-18000,UTC-05:00,CST,Cuba Standard Time
America/Curacao,-14400,UTC-04:00,AST,Atlantic Standard Time
Asia/Famagusta,7200,UTC+02:00,EET,Eastern European Time
,,,,
Africa/Kinshasa,3600,UTC+01:00,WAT,West Africa Time
Europe/Copenhagen,3600,UTC+01:00,CET,Central European Time
Africa/Djibouti,10800,UTC+03:00,EAT,East Africa Time
America/Dominica,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Santo_Domingo,-14400,UTC-04:00,AST,Atlantic Standard Time
Asia/Dili,32400,UTC+09:00,TLT,Timor Leste Time
America/Guayaquil,-18000,UTC-05:00,ECT,Ecuador Time
Africa/Cairo,7200,UTC+02:00,EET,Eastern European Time
America/El_Salvador,-21600,UTC-06:00,CST,Central Standard Time (North America
Africa/Malabo,3600,UTC+01:00,WAT,West Africa Time
Africa/Asmara,10800,UTC+03:00,EAT,East Africa Time
Europe/Tallinn,7200,UTC+02:00,EET,Eastern European Time
Africa/Addis_Ababa,10800,UTC+03:00,EAT,East Africa Time
Atlantic/Stanley,-10800,UTC-03:00,FKST,Falkland Islands Summer Time
Atlantic/Faroe,0,UTC\u00b100,WET,Western European Time
Pacific/Fiji,43200,UTC+12:00,FJT,Fiji Time
Europe/Helsinki,7200,UTC+02:00,EET,Eastern European Time
Europe/Paris,3600,UTC+01:00,CET,Central European Time
America/Cayenne,-10800,UTC-03:00,GFT,French Guiana Time
Pacific/Gambier,-32400,UTC-09:00,GAMT,Gambier Islands Time
Indian/Kerguelen,18000,UTC+05:00,TFT,French Southern and Antarctic Time
Africa/Libreville,3600,UTC+01:00,WAT,West Africa Time
Africa/Banjul,0,UTC\u00b100,GMT,Greenwich Mean Time
Asia/Tbilisi,14400,UTC+04:00,GET,Georgia Standard Time
Europe/Berlin,3600,UTC+01:00,CET,Central European Time
Africa/Accra,0,UTC\u00b100,GMT,Greenwich Mean Time
Europe/Gibraltar,3600,UTC+01:00,CET,Central European Time
Europe/Athens,7200,UTC+02:00,EET,Eastern European Time
America/Danmarkshavn,0,UTC\u00b100,GMT,Greenwich Mean Time
America/Grenada,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Guadeloupe,-14400,UTC-04:00,AST,Atlantic Standard Time
Pacific/Guam,36000,UTC+10:00,CHST,Chamorro Standard Time
America/Guatemala,-21600,UTC-06:00,CST,Central Standard Time (North America
Europe/Guernsey,0,UTC\u00b100,GMT,Greenwich Mean Time
Africa/Conakry,0,UTC\u00b100,GMT,Greenwich Mean Time
Africa/Bissau,0,UTC\u00b100,GMT,Greenwich Mean Time
America/Guyana,-14400,UTC-04:00,GYT,Guyana Time
America/Port-au-Prince,-18000,UTC-05:00,EST,Eastern Standard Time (North America
Indian/Kerguelen,18000,UTC+05:00,TFT,French Southern and Antarctic Time
America/Tegucigalpa,-21600,UTC-06:00,CST,Central Standard Time (North America
Asia/Hong_Kong,28800,UTC+08:00,HKT,Hong Kong Time
Europe/Budapest,3600,UTC+01:00,CET,Central European Time
Atlantic/Reykjavik,0,UTC\u00b100,GMT,Greenwich Mean Time
Asia/Kolkata,19800,UTC+05:30,IST,Indian Standard Time
Asia/Jakarta,25200,UTC+07:00,WIB,Western Indonesian Time
Asia/Tehran,12600,UTC+03:30,IRDT,Iran Daylight Time
Asia/Baghdad,10800,UTC+03:00,AST,Arabia Standard Time
Europe/Dublin,0,UTC\u00b100,GMT,Greenwich Mean Time
Asia/Jerusalem,7200,UTC+02:00,IST,Israel Standard Time
Europe/Rome,3600,UTC+01:00,CET,Central European Time
America/Jamaica,-18000,UTC-05:00,EST,Eastern Standard Time (North America
Asia/Tokyo,32400,UTC+09:00,JST,Japan Standard Time
Europe/Jersey,0,UTC\u00b100,GMT,Greenwich Mean Time
Asia/Amman,7200,UTC+02:00,EET,Eastern European Time
Asia/Almaty,21600,UTC+06:00,ALMT,Alma-Ata Time[1
Africa/Nairobi,10800,UTC+03:00,EAT,East Africa Time
Pacific/Enderbury,46800,UTC+13:00,PHOT,Phoenix Island Time
Europe/Belgrade,3600,UTC+01:00,CET,Central European Time
Asia/Kuwait,10800,UTC+03:00,AST,Arabia Standard Time
Asia/Bishkek,21600,UTC+06:00,KGT,Kyrgyzstan Time
Asia/Vientiane,25200,UTC+07:00,ICT,Indochina Time
Europe/Riga,7200,UTC+02:00,EET,Eastern European Time
Asia/Beirut,7200,UTC+02:00,EET,Eastern European Time
